Brand,Name,Status,Guarantee,Color,Capacity,Origin,Location,Price
Samsung,Galaxy Z Fold5,Đã sử dụng (chưa sửa chữa),3 tháng,Xanh dương,512 GB,Hàn Quốc,"Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",17.200.000
Xiaomi,Dòng khác,Mới,Còn bảo hành,Trắng,256 GB,Nước khác,"Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",5.350.000
Apple,iPhone 8 plus,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen bóng - Jet black,64 GB,Mỹ,"Phường Thuận Giao, Thành phố Thuận An, Bình Dương",2.600.000
Asus,ROG Phone 5,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Màu khác,256 GB,Đang cập nhật,"Phường Tam Hiệp, Thành phố Biên Hòa, Đồng Nai",7.299.000
Apple,iPhone 11,Đã sử dụng (chưa sửa chữa),Hết bảo hành,128 GB,Đài Loan,Quốc tế,"Xã Mỹ An Hưng B, Huyện Lấp Vò, Đồng Tháp",5.200.000
Xiaomi,13 Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh lá,128 GB,Trung Quốc,"Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",8.500.000
Apple,iPhone 15 Pro Max,Mới,Còn bảo hành,Bạc,256 GB,Việt Nam,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",26.000.000
Samsung,Galaxy M54,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Bạc,256 GB,Đang cập nhật,"Phường An Phú, Thành phố Thuận An, Bình Dương",4.600.000
Huawei,Nova 3i,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen,128 GB,Trung Quốc,Đường Tỉnh lộ 10,800.000
Apple,iPhone XS Max,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đang cập nhật,In trên bao bì,,"Phường Phước Long A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",350.000
Xiaomi,Redmi Note 12,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen,128 GB,Việt Nam,"Phường Bình Thủy, Quận Bình Thuỷ, Cần Thơ",2.550.000
Xiaomi,POCO X4 GT,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Bạc,128 GB,Việt Nam,"Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",3.389.000
Apple,iPhone 13 Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen,256 GB,Hàn Quốc,"Phường Hòa Lợi, Thị xã Bến Cát, Bình Dương",11.000.000
Apple,iPhone 16 Pro Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,256 GB,Mỹ,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",24.990.000
Samsung,Galaxy S21 Ultra,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,128 GB,Việt Nam,"Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",6.300.000
Apple,iPhone 15,Đã sử dụng (chưa sửa chữa),4-6 tháng,Vàng hồng,128 GB,Mỹ,"Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",12.500.000
Samsung,Galaxy S24 Plus,Mới,>12 tháng,Bạc,256 GB,Việt Nam,220 Minh Phụng P6 Q6 Tphcm Toàn Nguyễn,18.450.000
Samsung,Galaxy A10,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đang cập nhật,In trên bao bì,,"Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",590.000
Oppo,Reno6 Z,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,128 GB,Đang cập nhật,"Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.750.000
Oppo,A3S,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đỏ,16 GB,Việt Nam,"Phường Ba Láng, Quận Cái Răng, Cần Thơ",650.000
Xiaomi,Redmi Turbo 3,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen,256 GB,Nước khác,"Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",5.600.000
Xiaomi,Redmi Note 8 Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,64 GB,Đang cập nhật,"Phường La Khê, Quận Hà Đông, Hà Nội",1.500.000
Huawei,Y9 Prime,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Xanh dương,128 GB,Đang cập nhật,"Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",1.050.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),3 tháng,Vàng,256 GB,Mỹ,"Phường 5, Quận Tân Bình, Tp Hồ Chí Minh",7.350.000
Apple,iPhone 7 plus,Đã sử dụng (qua sửa chữa),Hết bảo hành,Đen,32 GB,Mỹ,"Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",1.200.000
Samsung,Galaxy Note 20,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh lá,256 GB,Việt Nam,"Xã Mai Lâm, Huyện Đông Anh, Hà Nội",3.550.000
Apple,iPhone 8,Đã sử dụng (chưa sửa chữa),1 tháng,Trắng,256 GB,Mỹ,"Thị trấn Mỹ Xuyên, Huyện Mỹ Xuyên, Sóc Trăng",2.350.000
Xiaomi,11T,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Trắng,128 GB,Nước khác,"Xã Mỹ An Hưng B, Huyện Lấp Vò, Đồng Tháp",3.700.000
Apple,iPhone XS Max,Đã sử dụng (chưa sửa chữa),1 tháng,Trắng,256 GB,Mỹ,"Phường 6, Quận Tân Bình, Tp Hồ Chí Minh",5.600.000
Apple,iPhone XS Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen,64 GB,Đang cập nhật,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",4.500.000
Apple,iPhone XR,Đã sử dụng (chưa sửa chữa),3 tháng,Trắng,128 GB,Mỹ,"Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",4.800.000
Samsung,Galaxy A12,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,128 GB,Việt Nam,"Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",1.650.000
Apple,iPhone 7 plus,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,32 GB,Đang cập nhật,"Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",1.500.000
Apple,iPhone 15 Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Trắng,128 GB,Hàn Quốc,"Phường Đội Cấn, Quận Ba Đình, Hà Nội",16.500.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh dương,128 GB,Việt Nam,"Phường Vạn Phúc, Quận Hà Đông, Hà Nội",11.300.000
Samsung,Galaxy S21 Plus,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,128 GB,Hàn Quốc,"Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",5.300.000
Apple,iPhone 11,Đã sử dụng (qua sửa chữa),Hết bảo hành,Trắng,< 8GB,Nước khác,"Phường 3, Quận 4, Tp Hồ Chí Minh",700.000
Samsung,Galaxy S21 Plus,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,128 GB,Hàn Quốc,"Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",5.300.000
Apple,iPhone 11,Đã sử dụng (qua sửa chữa),Hết bảo hành,Trắng,< 8GB,Nước khác,"Phường 3, Quận 4, Tp Hồ Chí Minh",700.000
Apple,iPhone 15 Pro Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh dương,256 GB,Việt Nam,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",22.580.000
Apple,iPhone 8 plus,Đã sử dụng (chưa sửa chữa),2 tháng,Đen,64 GB,Nước khác,"Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.600.000
Apple,iPhone 13,Đã sử dụng (chưa sửa chữa),4-6 tháng,Xanh dương,128 GB,Việt Nam,"Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",9.000.000
Apple,iPhone 11,Đã sử dụng (qua sửa chữa),Hết bảo hành,Trắng,64 GB,Mỹ,"Xã Lý Văn Lâm, Thành phố Cà Mau, Cà Mau",3.700.000
Oppo,Reno 2/2F,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Xanh dương,128 GB,Đang cập nhật,"Phường 1, Thành phố Trà Vinh, Trà Vinh",1.400.000
Xiaomi,Redmi 5/5A,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,16 GB,Việt Nam,"Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",580.000
