Brand,Name,Status,Guarantee,Color,Capacity,Origin,Location,Price
samsung,galaxy z flip4,da su dung chua sua chua,2 thang,tim,256.0,viet nam,tp ho chi minh,2450000
asus,rog phone 2,da su dung chua sua chua,3 thang,xam,128.0,trung quoc,tp ho chi minh,3600000
xiaomi,dong khac,moi,>12 thang,xam,256.0,trung quoc,dong nai,13000000
oppo,reno8 t,da su dung chua sua chua,het bao hanh,den,256.0,viet nam,tp ho chi minh,3300000
apple,iphone 7 plus,da su dung chua sua chua,bao hanh hang,trang,128.0,dang cap nhat,binh duong,850000
xiaomi,dong khac,da su dung chua sua chua,3 thang,trang,256.0,trung quoc,khanh hoa,5500000
apple,iphone 16 pro,moi,>12 thang,mau khac,128.0,my,tp ho chi minh,25200000
apple,iphone 8 plus,da su dung chua sua chua,het bao hanh,den,64.0,nuoc khac,ha noi,2700000
apple,iphone 11 pro max,da su dung chua sua chua,het bao hanh,den,256.0,my,tp ho chi minh,8300000
samsung,galaxy s20 fe,da su dung chua sua chua,bao hanh hang,mau khac,256.0,viet nam,binh dinh,4199000
apple,iphone 13,da su dung chua sua chua,bao hanh hang,xanh duong,128.0,my,tp ho chi minh,6700000
apple,iphone 14 pro max,da su dung chua sua chua,bao hanh hang,den,128.0,viet nam,ha noi,19500000
samsung,galaxy s24 plus,moi,con bao hanh,xam,512.0,viet nam,tp ho chi minh,21490000
apple,iphone 14,da su dung chua sua chua,7-12 thang,tim,128.0,my,dong nai,12590000
apple,iphone xs max,da su dung chua sua chua,het bao hanh,vang,64.0,my,da nang,3450000
samsung,galaxy z fold4,da su dung chua sua chua,con bao hanh,mau khac,256.0,viet nam,tp ho chi minh,12200000
apple,iphone xs max,da su dung chua sua chua,het bao hanh,vang,256.0,viet nam,tp ho chi minh,5000000
apple,iphone 11,da su dung chua sua chua,3 thang,mau khac,64.0,viet nam,tp ho chi minh,5300000
hang khac,dong khac,moi,con bao hanh,mau khac,512.0,nuoc khac,binh duong,999999
apple,iphone 7 plus,da su dung chua sua chua,bao hanh hang,den,128.0,viet nam,tp ho chi minh,1350000
samsung,galaxy a13,da su dung chua sua chua,het bao hanh,den,128.0,viet nam,thanh hoa,1300000
apple,iphone 13 pro max,da su dung chua sua chua,con bao hanh,den,256.0,dang cap nhat,binh phuoc,11700000
apple,iphone x,da su dung chua sua chua,4-6 thang,den bong,64.0,dang cap nhat,tp ho chi minh,2330000
apple,iphone 15 pro max,da su dung chua sua chua,4-6 thang,mau khac,256.0,viet nam,ha noi,22500000
hang khac,dong khac,da su dung chua sua chua,>12 thang,hong,128.0,nuoc khac,can tho,3000000
samsung,galaxy j7 prime,da su dung chua sua chua,het bao hanh,trang,32.0,viet nam,tp ho chi minh,600000
samsung,galaxy s23 ultra,da su dung chua sua chua,2 thang,vang,256.0,han quoc,tp ho chi minh,15200000
samsung,galaxy note 20,da su dung chua sua chua,1 thang,vang hong,256.0,han quoc,tp ho chi minh,4300000
apple,iphone 14 pro,da su dung chua sua chua,con bao hanh,vang,128.0,dang cap nhat,tp ho chi minh,13850000
samsung,galaxy s24 ultra,da su dung chua sua chua,bao hanh hang,xam,256.0,viet nam,tp ho chi minh,22000000
samsung,galaxy s21,da su dung chua sua chua,het bao hanh,vang hong,128.0,viet nam,ha noi,3800000
apple,iphone xs,da su dung chua sua chua,con bao hanh,vang hong,256.0,dang cap nhat,tp ho chi minh,3290000
samsung,galaxy s23,moi,>12 thang,den bong,128.0,viet nam,da nang,9990000
xiaomi,poco x6 pro,moi,het bao hanh,den bong,512.0,thai lan,tp ho chi minh,6750000
apple,iphone 12 pro max,da su dung chua sua chua,con bao hanh,xanh duong,128.0,dang cap nhat,tp ho chi minh,8300000
apple,iphone 11,da su dung chua sua chua,het bao hanh,tim,128.0,viet nam,tp ho chi minh,5500000
apple,iphone 11 pro max,da su dung chua sua chua,con bao hanh,trang,512.0,dang cap nhat,tp ho chi minh,6800000
realme,6,da su dung chua sua chua,bao hanh hang,trang,128.0,dang cap nhat,tp ho chi minh,1400000
samsung,galaxy note 20 ultra,da su dung chua sua chua,bao hanh hang,den,256.0,dang cap nhat,ha noi,7450000
apple,iphone 15 pro max,da su dung chua sua chua,1 thang,mau khac,256.0,viet nam,tp ho chi minh,23700000
oppo,reno 2/2f,da su dung chua sua chua,het bao hanh,xanh duong,128.0,nuoc khac,binh thuan,1600000
xiaomi,poco x6 pro,da su dung chua sua chua,con bao hanh,vang,256.0,viet nam,tp ho chi minh,6550000
